tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0012528,62,F,1,0,1,9404,235,232,0,235
t0007529,65,F,1,0,1,9020,226,215,0,226
t0023896,71,F,1,0,1,11834,296,0,0,296
t0008121,87,M,1,0,1,9260,232,225,0,232
t0007248,86,M,2,1,1,18032,451,438,0,451
t0007998,86,M,1,0,1,9884,247,240,0,247
t0013342,59,F,1,0,1,9260,232,225,0,232
t0011601,69,M,1,0,1,9404,235,232,0,235
t0023661,53,M,1,0,1,9020,226,0,0,226
t0024031,66,M,1,0,1,8996,225,226,0,225
t0015831,58,M,1,0,1,8852,221,50,0,221
t0007618,60,M,1,0,1,9020,226,226,0,226
t0011333,65,M,2,1,1,18328,458,398,0,458
t0016393,60,M,2,0,1,12536,314,556,0,314
t0014683,60,M,1,0,1,12992,325,624,0,325
t0012818,57,M,1,0,1,9020,226,219,0,226
t0013331,55,M,1,0,1,9164,229,226,0,229
t0007867,65,F,1,0,1,9164,229,226,0,229
t0007731,63,F,1,0,1,8768,219,215,0,219
t0012996,64,M,1,0,1,9656,242,237,0,242
t0013231,58,F,2,0,1,9404,235,232,0,235
t0007928,61,F,1,0,1,11440,286,557,0,286
t0023989,54,F,1,0,1,7920,198,222,0,198
t0011244,66,M,1,0,1,10184,255,248,0,255
t0014514,55,M,1,0,1,9212,230,219,0,230
t0011673,60,M,1,0,1,9164,229,202,0,229
t0008145,61,M,1,0,1,9404,235,227,0,235
t0007710,62,F,1,0,1,9020,226,219,0,226
t0007429,72,M,1,0,1,9020,226,219,0,226
t0014253,59,M,1,0,1,8090,202,196,0,202
t0010060,59,M,1,0,1,9020,226,219,0,226
t0014707,64,M,1,0,1,10317,258,254,0,258
t0024034,63,M,1,0,1,9404,235,232,0,235
t0008194,70,M,1,0,1,10580,265,260,0,265
t0016017,73,M,1,0,1,9195,230,223,0,230
t0013096,62,M,2,0,1,11755,294,289,0,294
t0026758,60,M,1,0,1,9296,233,229,0,233
t0007793,63,F,1,0,1,14036,351,318,0,351
t0008155,62,F,1,0,1,9404,235,226,0,235
t0011136,60,F,1,0,1,9704,243,236,0,243
t0013221,70,F,1,0,1,18971,474,379,0,474
t0016613,61,M,1,0,1,8420,211,0,0,211
t0007398,68,M,1,0,1,13356,334,319,0,334
