tid,age,sex,n_hh,n_dep,n_br,income,rent,n_total,n_late,name,late_duration,late_amount,prop
t0037651,77,M,1,0,1,16020,401,13,1,Riverbend,0,0,0.11410764301213629
t0007331,86,F,1,0,1,12676,317,53,4,Riverbend,0,0,0.0778459147145346
t0007297,68,F,1,0,1,11708,293,50,2,Riverbend,0,0,0.05003599760238572
t0007325,69,F,1,0,1,9536,239,51,1,Riverbend,0,0,0.033891956433454745
t0020094,59,F,1,0,2,9164,229,24,0,Riverbend,0,0,0.038600907466022176
t0014790,63,M,1,0,1,11588,290,63,11,Riverbend,2,248,0.16144380173600997
t0016119,61,F,1,0,1,3634,91,47,3,Riverbend,19,116,0.06995359615883107
t0016479,58,F,1,0,1,11102,278,43,4,Riverbend,9,74.5,0.09482766655403212
t0015579,62,F,1,0,1,9164,229,50,0,Riverbend,0,0,0.01970293358059767
t0007515,67,F,1,0,1,36234,0,50,1,Forest Park Place,4,3,0.03453082542290144
t0007992,64,M,1,0,1,4988,125,51,19,Forest Park Place,2,149,0.3376326154630476
t0016279,62,F,1,0,1,9020,226,45,4,Forest Park Place,0,0,0.09086323732533565
t0008103,70,F,1,0,1,1371,79,52,1,Forest Park Place,0,0,0.03327629677328624
t0008083,69,M,1,0,1,9020,226,50,1,Forest Park Place,13,215,0.03453082542290144
t0022023,69,M,1,0,1,9020,226,26,6,Forest Park Place,2,231,0.21221015650623212
t0015558,58,M,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0015926,56,M,1,0,1,8996,225,61,0,Forest Park Place,0,0,0.01632180100119313
t0037665,54,F,1,0,1,9020,226,17,0,Forest Park Place,0,0,0.05203267729829829
t0013392,55,F,1,0,1,9260,232,50,1,Forest Park Place,0,0,0.03453082542290144
t0007703,63,F,1,0,1,9092,227,50,2,Forest Park Place,2,80,0.05003599760238572
t0022209,55,F,1,0,1,9020,226,23,10,Forest Park Place,13,364,0.3799435167976043
t0012441,64,M,1,0,1,9773,244,50,1,Forest Park Place,2,202,0.03453082542290144
t0008021,61,M,1,0,1,9020,226,50,3,Forest Park Place,13,249,0.06598731731564887
t0007446,69,F,1,0,1,9020,226,64,23,Forest Park Place,20,65,0.32820893761504855
t0008357,66,F,1,0,1,5792,145,50,8,Forest Park Place,3,278.857142857143,0.14953095591278018
t0007091,71,M,1,0,1,9332,233,51,11,Forest Park Place,3.5,325.375,0.1977244794768935
t0012440,67,M,1,0,1,9020,226,62,30,Forest Park Place,4,269.754545454545,0.4433555744011173
t0013139,66,M,1,0,1,9104,228,50,0,Forest Park Place,0,0,0.01970293358059767
t0008377,72,F,1,0,1,6187,155,51,7,Forest Park Place,8,128.75,0.12999051470157721
t0016002,55,F,1,0,1,3931,98,26,5,Forest Park Place,5,147.25,0.18124908387570116
t0015699,68,M,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0022290,62,F,1,0,1,8600,215,38,19,Forest Park Place,15,224,0.447961986014825
t0012265,68,M,1,0,1,9440,236,57,35,Forest Park Place,7,186,0.5643695570142405
t0007101,60,M,1,0,1,29640,0,50,9,Forest Park Place,14,407.285714285714,0.16673661198843737
t0014853,66,M,1,0,1,9260,232,51,0,Forest Park Place,0,0,0.019338748786950397
t0014851,73,M,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0022221,56,M,1,0,1,12944,324,29,13,Forest Park Place,8,272.75,0.3960817505780392
t0007681,73,M,1,0,1,8156,204,51,5,Forest Park Place,3,198,0.09696167881822344
t0012288,62,M,1,0,1,8768,219,50,12,Forest Park Place,7,95.3333333333333,0.21903586386199742
t0007517,72,M,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0008391,72,F,1,0,1,7003,175,51,4,Forest Park Place,0,0,0.08073751950324481
t0013103,57,M,1,0,1,9260,232,50,10,Forest Park Place,9.5,108,0.184062958817958
t0007569,61,F,1,0,1,8660,217,50,0,Forest Park Place,0,0,0.01970293358059767
t0015566,54,M,2,0,1,18124,453,53,0,Forest Park Place,0,0,0.01864932424234325
t0007601,80,M,1,0,1,9092,227,50,14,Forest Park Place,0,0,0.2543844778414194
t0007247,61,F,1,0,1,10036,251,55,6,Forest Park Place,6,296,0.10553055941823565
t0008085,71,M,1,0,1,9260,232,51,18,Forest Park Place,4,218.461538461538,0.31988613367479474
t0016488,57,F,1,0,1,9020,226,43,5,Forest Park Place,5,19,0.11390879592142042
t0037663,55,M,1,0,1,9020,226,18,0,Forest Park Place,0,0,0.049569009380448656
t0012825,65,F,1,0,1,9260,232,50,0,Forest Park Place,0,0,0.01970293358059767
t0011933,73,M,1,0,1,37263,0,50,5,Forest Park Place,0,0,0.09879898086651369
t0014510,57,M,1,0,1,9020,226,53,14,Forest Park Place,15,244.4,0.2405582769579909
t0034308,60,M,1,0,1,9020,226,26,7,Forest Park Place,0,0,0.24356813877039843
t0013503,66,F,1,0,1,23768,594,50,0,Forest Park Place,0,0,0.01970293358059767
t0037033,54,M,1,0,1,9020,226,18,0,Forest Park Place,0,0,0.049569009380448656
t0007194,66,F,1,0,1,31364,0,51,0,Forest Park Place,0,0,0.019338748786950397
t0034309,62,M,1,0,1,9020,226,23,11,Forest Park Place,17,226,0.4166232052405914
t0019975,63,F,1,0,1,9272,232,34,1,Forest Park Place,7,71.98,0.04944243703894277
t0008363,92,M,1,0,1,9260,232,51,2,Forest Park Place,2,225,0.04910909404991873
t0008088,66,F,1,0,1,9020,226,50,14,Forest Park Place,0,0,0.2543844778414194
t0008033,61,M,1,0,1,1694,50,58,25,Forest Park Place,14,396.962,0.3930117719960123
t0016288,62,F,1,0,1,17804,445,45,0,Forest Park Place,0,0,0.021750959906359665
t0007671,59,M,1,0,1,8852,221,50,0,Forest Park Place,0,0,0.01970293358059767
t0007650,64,F,1,0,1,1716,50,56,0,Forest Park Place,0,0,0.017702667681725175
t0015616,61,F,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0011817,69,F,1,0,1,9020,226,50,1,Forest Park Place,0,0,0.03453082542290144
t0016452,54,M,1,0,1,9020,226,58,32,Forest Park Place,13,415.333333333333,0.505757983962098
t0022333,54,M,1,0,1,9020,226,38,11,Forest Park Place,15,331.6,0.2614097397282793
t0008169,68,M,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0012089,73,M,1,0,1,8084,202,63,13,Forest Park Place,10,186.333333333333,0.1895318854088277
t0012271,67,M,1,0,1,9164,229,50,7,Forest Park Place,4,219,0.13245988416773902
t0011030,71,M,1,0,1,8996,225,50,14,Forest Park Place,10.5,132.25,0.2543844778414194
t0011567,69,F,1,0,1,9260,232,50,3,Forest Park Place,1,221,0.06598731731564887
t0022369,69,F,1,0,1,9260,232,27,6,Forest Park Place,10,208,0.20505647871064644
t0008189,70,F,1,0,1,9452,236,50,7,Forest Park Place,0,0,0.13245988416773902
t0011434,70,M,1,0,1,9020,226,62,31,Forest Park Place,7,134.5,0.45848802549904333
t0022024,58,F,1,0,1,9020,226,25,2,Forest Park Place,7,15,0.09474151646220116
t0014558,57,F,1,0,1,9252,231,53,0,Forest Park Place,0,0,0.01864932424234325
t0013201,59,F,1,0,1,624,50,50,4,Forest Park Place,10,52,0.08226541934508509
t0034355,59,F,1,0,1,624,50,26,9,Forest Park Place,1,119,0.3073240605148591
t0037668,69,M,1,0,1,24319,608,19,0,Forest Park Place,0,0,0.04732796593198868
t0015198,56,F,1,0,1,3190,80,52,0,Forest Park Place,0,0,0.0189877812190509
t0007195,66,F,1,0,1,4340,109,61,7,Forest Park Place,0,0,0.10956667892546318
t0008400,59,F,1,0,1,8468,212,51,22,Forest Park Place,2,50.2857142857143,0.3912593529031698
t0012287,65,M,1,0,1,21322,533,50,16,Forest Park Place,4,169.666666666667,0.2900647956842943
t0008004,64,M,1,0,1,9020,226,50,0,Forest Park Place,0,0,0.01970293358059767
t0014682,58,M,1,0,1,18002,450,52,0,Forest Park Place,0,0,0.0189877812190509
t0022128,61,M,1,0,1,5200,130,22,2,Forest Park Place,0,0,0.10611997454796407
t0022113,58,M,1,0,1,9292,232,27,1,Forest Park Place,0,0,0.0609585749460508
t0011669,90,F,1,0,1,11525,288,50,0,Forest Park Place,0,0,0.01970293358059767
t0013225,68,M,1,0,1,9164,229,50,5,Sheridan,17,220,0.09879898086651369
t0008300,63,F,1,0,1,12788,320,50,11,Sheridan,7.5,169.5,0.20149899503514637
t0015760,57,F,1,0,1,2600,65,50,6,Sheridan,4,62,0.11554131479003016
t0007154,63,M,1,0,1,9392,235,35,15,Sheridan,11.5,226,0.38234068217396683
t0013062,58,M,1,0,1,9020,226,61,29,Sheridan,7.5,293.75,0.43513757484675025
t0015762,60,M,1,0,1,0,50,60,46,Sheridan,7,265.222222222222,0.7134921713586233
t0024285,61,F,1,0,1,9020,226,28,14,Sheridan,1,216,0.4403829654744413
t0014203,59,M,1,0,1,16149,404,51,34,Sheridan,16,447.807692307692,0.6112981174971943
t0011858,57,M,1,0,1,9690,242,50,5,Sheridan,19,242,0.09879898086651369
t0008277,79,F,1,0,1,9404,235,52,2,Sheridan,0,0,0.048215907630139596
t0008117,64,F,1,0,1,9164,229,51,1,Sheridan,17,219,0.033891956433454745
t0015730,62,M,1,0,1,9260,232,57,9,Sheridan,20,336,0.14712604458477957
t0015731,58,F,1,0,1,9020,226,50,9,Sheridan,20,226,0.16673661198843737
t0012509,58,F,1,0,1,9164,229,56,9,Sheridan,3,215,0.1496400866709106
t0013034,58,M,1,0,1,8324,208,61,38,Sheridan,9,271,0.574683592923454
t0024220,58,M,1,0,1,9020,226,29,9,Sheridan,5,169,0.2779840339987244
t0037791,65,M,1,0,1,13544,339,17,2,Sheridan,0,0,0.13267977976174433
t0007150,63,M,1,0,1,16518,413,50,2,Sheridan,0,0,0.05003599760238572
t0023665,58,F,1,0,1,9020,226,27,7,Sheridan,17,219.25,0.23533489911320066
t0007986,59,F,1,0,1,9164,229,50,19,Sheridan,4,223.5,0.3441431862752353
t0023732,58,M,1,0,1,8708,218,24,7,Sheridan,0,0,0.26189850563571293
t0008142,68,F,1,0,1,9164,229,59,31,Sheridan,9,267.142857142857,0.4813688639637206
t0007939,92,F,1,0,1,7822,196,57,1,Sheridan,0,0,0.03050555940548918
t0008185,62,F,1,0,1,21783,545,50,19,Sheridan,9,324,0.3441431862752353
t0019999,59,M,1,0,1,9020,226,29,5,Sheridan,0,0,0.16412133357008094
t0011179,61,M,1,0,1,10424,261,54,8,Sheridan,2,182.666666666667,0.13895933629857946
t0007891,68,M,1,0,1,9404,235,50,8,Sheridan,4,150,0.14953095591278018
t0012400,67,M,1,0,1,9164,229,50,5,Sheridan,1,219,0.09879898086651369
t0024108,53,F,1,0,1,7275,182,29,13,Sheridan,1,210,0.3960817505780392
t0023834,57,M,1,0,1,8852,221,27,4,Sheridan,2,215,0.14568775355916355
t0034404,71,F,1,0,1,11552,289,20,4,Sheridan,2,284,0.19038296547444128
t0007946,86,M,1,0,1,11934,299,58,36,Sheridan,5,335.666666666667,0.5711792928135959
t0011134,60,F,1,0,1,9260,232,50,1,Sheridan,2,223,0.03453082542290144
t0013283,80,M,1,0,1,13949,349,52,5,Sheridan,1,293,0.09519148273722064
t0012508,60,M,1,0,1,10952,274,51,10,Sheridan,7.5,149,0.18061917274036693
t0016636,62,F,1,0,1,8900,223,43,3,Sheridan,2,131,0.07604838275923309
t0016006,65,M,1,0,1,9044,226,52,23,Sheridan,20,216,0.40162174703850945
t0007820,68,F,1,0,1,9412,235,50,0,Sheridan,0,0,0.01970293358059767
t0007414,71,F,1,0,1,17674,442,50,3,Sheridan,0,0,0.06598731731564887
t0008322,65,M,1,0,1,9164,229,59,38,Sheridan,3,251.153846153846,0.5940079064241675
t0011120,64,M,1,0,1,9260,232,50,2,Sheridan,0,0,0.05003599760238572
