tid,age,sex,n_hh,n_dep,n_br,income,rent,n_total,n_late,name,late_duration,late_amount,prop
t0023758,63,M,1,0,1,9020,226,17,1,Sheridan,3,220,0.09135286620154123
t0023961,57,M,1,0,1,9020,226,27,8,Sheridan,0,0,0.26595117986565076
t0011350,70,M,1,0,1,15850,396,59,0,Sheridan,0,0,0.016847466558727327
t0007894,74,F,1,0,1,9404,235,50,17,Sheridan,9,110,0.308019422926166
t0011354,90,F,1,0,1,19114,478,61,28,Sheridan,0,0,0.4198323242100878
t0036987,53,M,1,0,1,9356,234,17,5,Sheridan,3,255,0.26394931468643335
t0007624,64,F,1,0,1,19157,479,75,64,Sheridan,12,267.894736842105,0.8073060009961759
t0007478,68,F,1,0,1,12247,306,57,5,Sheridan,11,303,0.08722915070428386
t0007156,84,F,1,0,1,10561,264,50,9,Sheridan,0,0,0.16673661198843737
t0013942,69,M,1,0,1,16412,410,63,25,Sheridan,0,0,0.3625670552238819
t0015451,68,F,1,0,1,15981,400,50,27,Sheridan,9,176.714285714286,0.49126990295959105
t0012320,64,F,1,0,1,9404,235,50,0,Sheridan,0,0,0.01970293358059767
t0014994,56,M,1,0,1,9404,235,50,6,Sheridan,0,0,0.11554131479003016
t0007798,63,F,1,0,1,9668,242,50,1,Sheridan,0,0,0.03453082542290144
t0013332,63,M,1,0,1,14240,356,51,3,Sheridan,0,0,0.06476332765157794
t0015710,56,M,1,0,1,0,50,50,0,Sheridan,0,0,0.01970293358059767
t0008078,61,M,1,0,1,9404,235,50,7,Sheridan,1,225,0.13245988416773902
t0012285,68,M,1,0,1,9164,229,50,5,Sheridan,18,217,0.09879898086651369
t0008015,64,F,1,0,1,9740,244,50,2,Sheridan,6,236,0.05003599760238572
t0017117,53,M,1,0,1,9164,229,29,3,Sheridan,8,253,0.10941647310611843
t0010280,71,F,1,0,1,9400,235,24,11,Sheridan,6,232,0.400715216374791
t0008158,103,F,1,0,1,16461,412,55,1,Sheridan,0,0,0.03155658036921613
t0007776,69,M,2,0,1,12080,302,50,3,Sheridan,0,0,0.06598731731564887
t0030095,56,F,1,0,1,9020,226,25,0,Sheridan,0,0,0.03722783282524789
t0016275,56,F,1,0,1,4190,105,49,25,Sheridan,8,224.555555555556,0.46311806243091747
t0010861,62,M,1,0,1,9164,229,51,14,Sheridan,4.5,216,0.2496020946850913
t0014849,66,M,1,0,1,9164,229,62,0,Sheridan,0,0,0.016071079432693564
t0008312,59,M,1,0,1,1200,50,50,21,Sheridan,8.5,34,0.3805391347369093
t0012063,62,M,1,0,1,15644,391,50,23,Sheridan,8.5,305,0.41719582888551693
t0023790,64,F,1,0,1,8860,221,12,0,Sheridan,0,0,0.06923337059747152
t0007155,74,F,1,0,1,8084,202,60,9,Sheridan,0,0,0.1400667577161792
t0014201,56,M,1,0,1,9164,229,17,0,Sheridan,0,0,0.05203267729829829
t0011967,63,F,1,0,1,9404,235,21,0,Sheridan,0,0,0.043403103551475544
t0007175,85,F,2,0,1,9260,232,50,1,Sheridan,12,222,0.03453082542290144
t0008123,77,M,1,0,1,9392,235,60,39,Sheridan,10,493.8,0.6001710214597262
t0014162,57,M,1,0,1,9020,226,50,0,Sheridan,0,0,0.01970293358059767
t0023721,65,F,1,0,1,9164,229,23,11,Sheridan,2.5,259.5,0.4166232052405914
t0015885,62,M,1,0,1,9399,235,50,16,Sheridan,1,220,0.2900647956842943
t0007635,64,M,1,0,1,8450,211,55,21,Sheridan,4,251.5,0.3470040161469938
t0014897,56,M,1,0,1,9524,238,50,9,Sheridan,13,189,0.16673661198843737
t0012994,58,F,1,0,1,8912,223,51,16,Sheridan,1,215,0.2845982279276743
t0000268,60,M,1,0,1,13184,330,50,15,Sheridan,5,341,0.27218533459463473
t0011722,74,F,1,0,1,9164,229,59,18,Sheridan,0,0,0.2779041910783008
t0007736,67,M,1,0,1,8791,220,50,4,Sheridan,0,0,0.08226541934508509
t0034364,76,M,1,0,1,9260,232,17,2,Sheridan,0,0,0.13267977976174433
t0011122,66,F,1,0,1,6766,169,54,28,Sheridan,8,200.75,0.47298529283412716
t0013846,79,F,1,0,1,9164,229,50,0,Sheridan,0,0,0.01970293358059767
t0012716,61,M,1,0,1,3000,75,52,10,Sheridan,1,56.25,0.17730202130912306
t0008157,80,F,1,0,1,9477,237,50,4,Sheridan,19,34,0.08226541934508509
t0007799,61,F,1,0,1,27320,683,51,10,Sheridan,17.5,352.5,0.18061917274036693
t0014685,69,F,1,0,1,9412,235,50,11,Sheridan,4,128.5,0.20149899503514637
t0012813,56,F,1,0,1,3232,81,57,22,Sheridan,2.5,98.3,0.3512548029158798
t0011789,69,F,1,0,1,13405,335,50,26,Sheridan,16,291.125,0.4726567915725148
t0008159,75,M,1,0,1,12946,324,58,30,Sheridan,2,363.090909090909,0.4733211802435431
t0011723,73,M,1,0,1,9164,229,38,12,Sheridan,16,233.5,0.2842714232421365
t0007933,63,F,1,0,1,9412,235,63,30,Sheridan,11,269.75,0.436452243997537
t0007153,65,M,1,0,1,9020,226,53,20,Sheridan,1,236.333333333333,0.34247300700975036
t0037161,70,M,1,0,1,9020,226,17,1,Sheridan,0,0,0.09135286620154123
t0007701,64,F,1,0,1,11038,276,50,21,Sheridan,15,300.933333333333,0.3805391347369093
t0007790,68,F,1,0,1,9034,226,50,8,Sheridan,0,0,0.14953095591278018
t0012993,58,M,1,0,1,9020,226,50,32,Sheridan,17,218.75,0.5853056066899223
t0013033,64,M,1,0,1,9020,226,50,12,Sheridan,15.5,428.5,0.21903586386199742
t0007990,60,M,1,0,1,8341,209,50,2,Sheridan,0,0,0.05003599760238572
t0024165,56,M,1,0,1,12668,317,22,1,Sheridan,0,0,0.07312360483198435
t0007167,63,M,1,0,1,8852,221,13,0,Sheridan,0,0,0.06494075033077615
b0014540,66,M,1,0,1,9156,229,55,26,Sheridan,8.5,402.0875,0.4307275229968529
t0023894,59,F,1,0,1,9020,226,21,3,Sheridan,9,251,0.14604081998431348
t0024157,62,M,1,0,1,8288,207,25,8,Sheridan,1,207,0.2852949440094323
t0011816,61,F,1,0,1,9164,229,50,0,Sheridan,0,0,0.01970293358059767
t0007392,63,F,1,0,1,17710,443,75,54,Sheridan,5,433.904761904762,0.674386682365571
t0007824,64,F,1,0,1,15068,377,60,0,Sheridan,0,0,0.016580468772516142
t0007590,70,M,1,0,1,9156,229,50,0,Sheridan,0,0,0.01970293358059767
t0013719,58,F,2,0,1,18920,473,50,11,Sheridan,-2.5,230.5,0.20149899503514637
t0012817,55,F,1,0,1,8216,206,50,26,Sheridan,10,223.272727272727,0.4726567915725148
t0016598,54,F,1,0,1,8996,225,43,2,Sheridan,-1,220,0.05765319455107479
t0011223,90,F,2,0,1,12248,306,50,8,Sheridan,4.5,109,0.14953095591278018
t0012082,58,F,1,0,1,8480,212,50,12,Sheridan,1,159,0.21903586386199742
t0014795,69,M,1,0,1,15905,398,50,13,Sheridan,1,398,0.23666634168826853
t0007743,71,F,1,0,1,9000,225,63,40,Sheridan,2,297.5,0.5870129670646377
t0007845,71,F,1,0,1,9416,236,50,0,Sheridan,0,0,0.01970293358059767
t0015216,54,M,1,0,1,9164,229,33,20,Sheridan,7,344.75,0.5401531377682203
t0012995,58,F,1,0,1,12080,302,64,46,Sheridan,8,675.77,0.6686133647946406
t0011602,69,M,1,0,1,9044,226,50,27,Sheridan,8,219.2,0.49126990295959105
t0008143,64,F,1,0,1,9404,235,50,4,Sheridan,1,232,0.08226541934508509
t0016098,81,F,1,0,1,9439,236,46,7,Sheridan,0,0,0.14335341324149029
t0016459,69,M,1,0,1,9164,229,44,13,Sheridan,4,100,0.26737511607711245
t0011631,69,M,1,0,1,9241,231,50,6,Sheridan,0,0,0.11554131479003016
t0007625,63,F,1,0,1,11540,289,55,31,Sheridan,11.5,227.25,0.5157266023759938
t0037648,54,M,1,0,1,5768,144,17,0,Sheridan,0,0,0.05203267729829829
t0037798,56,F,1,0,1,9164,229,18,0,Sheridan,0,0,0.049569009380448656
t0013428,80,M,1,0,1,8156,204,53,36,Sheridan,1,297.333333333333,0.6245521646606046
t0012463,71,M,1,0,1,8756,219,51,11,Sheridan,5,192,0.1977244794768935
t0007204,63,F,1,0,1,9164,229,21,0,Sheridan,0,0,0.043403103551475544
t0008056,76,F,1,0,1,10183,255,53,2,Sheridan,4.5,213.5,0.04735463142668753
t0008179,75,M,1,0,1,9260,232,12,0,Sheridan,0,0,0.06923337059747152
t0008137,66,M,1,0,1,9164,229,50,8,Sheridan,19,6,0.14953095591278018
t0013845,85,F,1,0,1,10364,259,50,2,Sheridan,0,0,0.05003599760238572
t0011671,68,F,1,0,1,7700,193,51,9,Sheridan,14,50,0.16362072825479482
t0008139,60,F,1,0,1,9416,236,76,50,Sheridan,18,300,0.6140316048002377
t0007213,67,F,1,0,1,8660,217,68,41,Sheridan,6,315.8,0.558236118270857
t0014708,63,M,1,0,1,11912,298,50,18,Sheridan,18.5,358.5,0.32604634743066296
t0014645,60,M,1,0,1,9168,229,62,7,Sheridan,1,226,0.1078719514033269
t0023747,57,M,1,0,1,9164,229,22,1,Sheridan,0,0,0.07312360483198435
t0014414,63,M,1,0,1,9387,235,57,21,Sheridan,11,182,0.3351952431452109
t0013592,72,M,1,0,1,9309,233,53,3,Sheridan,0,0,0.06244670865214017
t0007138,81,F,1,0,1,10400,260,51,12,Sheridan,9,278,0.21492793632704596
t0015470,90,F,1,0,1,9260,232,50,4,Sheridan,12.5,190.5,0.08226541934508509
t0016112,68,M,1,0,1,9404,235,46,11,Sheridan,9,213.4,0.21815988341120313
t0007170,86,M,1,0,1,11888,297,50,24,Sheridan,14,307.076923076923,0.43561975453547774
t0012476,57,M,1,0,1,9164,229,58,27,Sheridan,15.5,264.125,0.4250010230756102
t0023968,53,M,1,0,1,1800,50,31,10,Sheridan,6.5,217.5,0.288740876104403
t0010854,62,F,1,0,1,9404,235,50,1,Sheridan,0,0,0.03453082542290144
t0007128,71,F,1,0,1,9260,232,75,18,Sheridan,0,0,0.2201674609020922
t0011328,61,M,1,0,1,9168,229,50,1,Sheridan,4,220,0.03453082542290144
t0013264,57,F,1,0,1,9464,237,51,30,Sheridan,17,265.333333333333,0.5369570499051333
t0012812,66,M,1,0,1,10748,269,50,4,Sheridan,0,0,0.08226541934508509
t0015845,55,M,1,0,1,9143,229,56,0,Sheridan,0,0,0.017702667681725175
t0037560,63,M,1,0,1,9236,231,18,0,Sheridan,0,0,0.049569009380448656
t0007987,71,M,1,0,1,8108,203,50,9,Sheridan,0,0,0.16673661198843737
t0008200,58,F,1,0,1,10244,256,68,2,Sheridan,1,250,0.037347605152964924
t0012529,63,F,1,0,1,8996,225,50,4,Sheridan,20,226,0.08226541934508509
t0008202,65,F,1,0,1,9230,231,52,15,Sheridan,10.5,231,0.2621285342833464
t0007135,77,M,1,0,1,12655,317,50,1,Sheridan,3,300,0.03453082542290144
t0012579,67,M,1,0,1,9787,245,53,28,Sheridan,14,600,0.48170852610963394
t0007842,61,F,1,0,1,9608,240,50,7,Sheridan,1,230,0.13245988416773902
t0024271,62,M,1,0,1,9404,235,30,0,Sheridan,0,0,0.03160610874076418
t0012524,66,M,1,0,1,10995,275,57,37,Sheridan,13,225.384615384615,0.5978751970761153
t0007814,67,M,1,0,1,14396,360,61,20,Sheridan,0,0,0.2988746937401259
t0007548,75,M,1,0,1,9404,235,50,3,Sheridan,0,0,0.06598731731564887
t0013233,60,F,1,0,1,10172,254,50,27,Sheridan,9,147.111111111111,0.49126990295959105
t0008077,69,F,1,0,1,32099,0,51,0,Sheridan,0,0,0.019338748786950397
t0013337,59,F,2,0,1,14237,356,52,0,Sheridan,0,0,0.0189877812190509
t0015711,58,F,1,0,1,7428,186,50,1,Sheridan,0,0,0.03453082542290144
t0014626,56,M,1,0,1,600,50,50,3,Sheridan,0,0,0.06598731731564887
t0007883,61,F,1,0,1,8790,220,59,6,Sheridan,1,199,0.09869035375359148
t0014789,62,F,1,0,1,9164,229,50,0,Sheridan,0,0,0.01970293358059767
t0013234,60,M,1,0,1,9164,229,50,1,Sheridan,0,0,0.03453082542290144
t0008029,65,M,1,0,1,8629,216,65,5,Sheridan,0,0,0.0769334463874939
t0007991,77,M,1,0,1,11482,287,50,0,Sheridan,0,0,0.01970293358059767
t0014793,58,M,1,0,1,9164,229,50,1,Sheridan,0,0,0.03453082542290144
t0011804,59,M,1,0,1,9404,235,49,18,Sheridan,0,0,0.33244947680289594
t0016624,63,M,1,0,1,9164,229,41,1,Sheridan,0,0,0.04158583945351041
t0014519,55,M,1,0,1,24943,624,65,40,Sheridan,9.5,299.541666666667,0.5690670963667713
t0007528,66,F,1,0,1,11626,291,50,0,Sheridan,0,0,0.01970293358059767
t0012092,61,M,1,0,1,1200,50,55,27,Sheridan,7,182,0.44762618761439643
t0007178,78,F,1,0,1,7387,185,50,0,Sheridan,0,0,0.01970293358059767
t0015783,63,F,1,0,1,896,50,53,3,Sheridan,2,50,0.06244670865214017
t0015286,68,M,1,0,1,14037,351,50,1,Sheridan,8,329,0.03453082542290144
t0024322,54,M,1,0,1,9176,230,29,15,Sheridan,19,219,0.4564716784545156
t0007536,66,F,1,0,1,9802,245,50,2,Sheridan,0,0,0.05003599760238572
t0007898,86,F,1,0,1,12321,308,56,0,Sheridan,0,0,0.017702667681725175
t0014197,57,F,1,0,1,9636,241,55,29,Sheridan,12,198.125,0.4815749806239716
t0012462,69,F,1,0,1,9260,232,57,18,Sheridan,5,228.333333333333,0.2873284992638125
t0007774,66,F,1,0,1,12188,305,50,1,Sheridan,14,277,0.03453082542290144
t0013614,67,M,1,0,1,13054,326,56,2,Sheridan,0,0,0.04494603315214528
t0007895,71,M,1,0,1,9164,229,50,7,Sheridan,4.5,17,0.13245988416773902
t0012480,57,M,1,0,1,9164,229,50,3,Sheridan,0,0,0.06598731731564887
t0025447,64,M,1,0,1,14996,375,22,9,Sheridan,5.5,525,0.35772516061403653
t0024180,61,M,1,0,1,10016,251,29,6,Sheridan,2,202.5,0.19210669757459797
t0002055,58,F,1,0,1,1620,50,63,16,Sheridan,5,104,0.23213110934320677
t0014216,67,M,1,0,1,9164,229,55,43,Sheridan,17,259.714285714286,0.7253552412299857
t0016186,67,F,1,0,1,9404,235,45,2,Sheridan,0,0,0.05525005950614651
t0007151,67,F,1,0,1,9780,245,50,17,Sheridan,3,203.363636363636,0.308019422926166
t0011052,72,F,1,0,1,11983,264,51,5,Greenbrooke,0,0,0.09696167881822344
t0011051,81,F,1,0,1,9236,195,50,2,Greenbrooke,0,0,0.05003599760238572
t0011783,67,F,1,0,2,9248,162,50,3,Greenbrooke,2,144,0.06598731731564887
t0015785,56,M,1,0,1,14132,317,50,23,Greenbrooke,4,336,0.41719582888551693
t0016908,26,F,1,0,1,1200,14,44,14,Greenbrooke,12,100,0.2874401187578419
t0015782,56,F,1,0,1,8456,176,56,0,Greenbrooke,0,0,0.017702667681725175
t0007910,41,F,1,0,1,600,14,50,0,Greenbrooke,0,0,0.01970293358059767
t0011031,63,F,1,0,1,9404,199,50,5,Greenbrooke,0,0,0.09879898086651369
t0011020,64,M,1,0,1,9404,199,50,6,Greenbrooke,0,0,0.11554131479003016
t0011022,72,M,1,0,1,14203,319,50,8,Greenbrooke,19,403,0.14953095591278018
t0012770,64,F,1,0,1,5050,90,51,0,Greenbrooke,0,0,0.019338748786950397
t0011038,60,M,1,0,1,9164,193,50,7,Greenbrooke,9,366,0.13245988416773902
t0016772,64,F,1,0,1,9629,205,42,15,Greenbrooke,5.5,250,0.32156291521956704
t0011018,60,F,1,0,1,0,14,69,37,Greenbrooke,4,99.8571428571429,0.49486774373679787
t0013099,26,F,3,2,1,0,14,52,0,Greenbrooke,0,0,0.0189877812190509
t0011058,67,F,1,0,1,10462,226,50,2,Greenbrooke,0,0,0.05003599760238572
t0011021,78,F,1,0,1,17958,413,59,2,Greenbrooke,19,443,0.04277059491177282
t0011055,77,F,1,0,1,19515,452,61,2,Greenbrooke,19,448,0.041433639530552874
t0009963,39,F,1,0,1,9020,190,23,1,Greenbrooke,9,122,0.0703171425995632
t0015988,41,M,1,0,1,9164,193,48,12,Greenbrooke,14,207.166666666667,0.2277424200088879
t0016468,30,M,2,1,1,7736,134,54,41,Greenbrooke,17,317.222222222222,0.7025988266720284
t0012001,53,F,1,0,1,4383,74,61,0,Greenbrooke,0,0,0.01632180100119313
t0011060,67,F,1,0,1,9008,189,50,6,Greenbrooke,18,184,0.11554131479003016
t0011042,54,F,1,0,1,21216,494,55,14,Greenbrooke,2,247,0.23214808145781443
t0011062,82,F,1,0,1,26743,633,50,23,Greenbrooke,3,638.636363636364,0.41719582888551693
t0011091,60,F,2,0,2,32625,773,57,3,Greenbrooke,18,227,0.05827751003067427
t0015849,26,M,1,0,1,19568,453,30,6,Greenbrooke,5.5,130,0.18622721473947587
t0007356,52,F,1,0,1,10988,239,21,9,Greenbrooke,10,260,0.37303841858000586
t0011053,47,M,1,0,1,18824,435,50,3,Greenbrooke,10,17,0.06598731731564887
t0011651,54,F,2,1,2,10680,198,52,2,Greenbrooke,2,194,0.048215907630139596
t0011054,64,F,1,0,1,8780,184,50,1,Greenbrooke,2,175,0.03453082542290144
t0024903,55,F,1,0,1,9737,243,12,0,Warren West,0,0,0.06923337059747152
t0012131,58,M,1,0,1,720,50,50,7,Warren West,2,50,0.13245988416773902
t0007360,76,F,1,0,1,8758,219,51,19,Warren West,7,162.333333333333,0.3376326154630476
t0012119,58,F,1,0,1,9260,232,50,4,Warren West,0,0,0.08226541934508509
t0011130,66,F,1,0,1,9296,233,62,36,Warren West,6,230.111111111111,0.5347248596934663
t0016723,62,M,1,0,1,7316,183,43,5,Warren West,7,149,0.11390879592142042
t0038031,80,F,1,0,2,19511,488,14,0,Warren West,0,0,0.06114890739288283
t0024965,55,M,1,0,1,9020,226,19,6,Warren West,0,0,0.2808416018582171
t0036999,57,M,1,0,1,8564,214,26,1,Warren West,0,0,0.06305667490115816
t0016200,62,F,1,0,1,200,50,46,0,Warren West,0,0,0.021307991735615144
t0007084,65,M,2,0,2,14264,357,65,23,Warren West,16,203.509090909091,0.32328888465680816
t0037563,55,M,1,0,2,9020,226,14,1,Warren West,0,0,0.10741878141506611
t0007146,75,F,1,0,1,9164,229,50,1,Warren West,0,0,0.03453082542290144
t0024847,60,M,1,0,1,9164,229,43,20,Warren West,2,226.4,0.41899319832267723
t0011283,66,M,1,0,1,9164,229,34,10,Warren West,9.5,252.5,0.2649293682155953
t0007246,66,M,1,0,1,9404,235,77,39,Warren West,7.5,175,0.46870404246210734
t0014860,70,F,1,0,1,8996,225,50,0,Warren West,0,0,0.01970293358059767
t0016055,64,F,1,0,1,8996,225,47,0,Warren West,0,0,0.02088270359828546
t0007218,87,M,1,0,1,10184,255,50,0,Warren West,0,0,0.01970293358059767
t0007838,80,M,1,0,1,9404,235,50,1,Warren West,0,0,0.03453082542290144
t0007839,65,F,1,0,1,10268,257,72,27,Warren West,7,253,0.34399495650571205
t0007830,64,F,1,0,1,8205,205,50,0,Warren West,0,0,0.01970293358059767
t0015834,56,M,1,0,1,9260,232,50,9,Warren West,4,25,0.16673661198843737
t0015836,85,M,1,0,1,9368,234,50,3,Warren West,0,0,0.06598731731564887
t0020534,54,M,1,0,1,11756,294,14,0,Warren West,0,0,0.06114890739288283
t0025081,74,M,1,0,1,9164,229,34,0,Warren West,0,0,0.02819917457430432
t0025127,68,M,1,0,1,9260,232,35,9,Warren West,2,242.75,0.2334493199923956
t0015872,66,F,1,0,1,9296,233,51,0,Warren West,0,0,0.019338748786950397
t0020112,60,M,1,0,1,8996,225,34,7,Warren West,0,0,0.19032419322916455
t0014336,64,M,2,0,2,15373,384,51,0,Warren West,0,0,0.019338748786950397
t0012461,69,M,1,0,1,9236,231,73,30,Warren West,8.5,297.25,0.37770349605262427
t0012374,63,F,1,0,1,10496,263,52,30,Warren West,2,331.3125,0.5268245594412786
t0037407,60,M,1,0,1,8996,225,22,7,Warren West,2,55,0.28322336564959405
t0016780,57,F,1,0,1,600,50,40,0,Warren West,0,0,0.024274056450307804
t0007659,76,F,1,0,1,8660,217,69,50,Warren West,17,260,0.676593059736989
t0037561,63,M,1,0,1,8996,225,22,7,Warren West,0,0,0.28322336564959405
t0012143,61,M,1,0,1,1200,50,22,5,Warren West,9,58.3333333333333,0.2105573830807134
t0012045,58,F,1,0,1,9164,229,61,5,Warren West,0,0,0.08175837757884646
t0034304,73,M,1,0,1,9512,238,19,1,Warren West,0,0,0.08306959896139521
t0007654,72,M,1,0,1,9344,234,50,5,Warren West,0,0,0.09879898086651369
t0016005,54,F,1,0,1,16361,409,49,0,Warren West,0,0,0.020081096466481548
t0007675,77,F,1,0,2,8852,221,50,4,Warren West,3.5,185.5,0.08226541934508509
t0007676,61,M,1,0,1,9020,226,50,1,Warren West,0,0,0.03453082542290144
b0036886,74,M,1,0,1,9164,229,28,0,Warren West,0,0,0.033638027266529806
t0038033,55,F,1,0,1,9044,226,12,0,Warren West,0,0,0.06923337059747152
t0007981,64,M,1,0,1,8168,204,55,15,Warren West,2,173.75,0.24836643094776018
t0015568,58,F,1,0,1,9404,235,45,16,Warren West,2,115.75,0.3208955894695259
t0016464,65,M,2,0,2,9272,232,23,8,Warren West,2,228,0.3076867359901
t0016029,65,M,1,0,1,12200,305,48,7,Warren West,2,291,0.13769138357554062
t0007447,59,M,1,0,1,9368,234,25,11,Warren West,0,0,0.3859870533546872
t0007917,73,M,1,0,1,9260,232,50,18,Warren West,5.5,131,0.32604634743066296
t0016577,66,M,1,0,1,21575,539,40,0,Warren West,0,0,0.024274056450307804
t0008349,65,M,1,0,1,5563,139,11,0,Warren West,0,0,0.07413286536443997
t0007957,70,F,1,0,2,9404,235,51,0,Warren West,0,0,0.019338748786950397
t0007913,70,F,1,0,1,17685,442,50,19,Warren West,2,418.272727272727,0.3441431862752353
t0007879,65,F,1,0,1,11372,284,50,1,Warren West,2,276,0.03453082542290144
t0024841,59,F,1,0,1,9884,247,34,10,Warren West,2,237,0.2649293682155953
t0007903,67,M,1,0,1,9020,226,64,19,Warren West,2,158,0.2710340802358322
t0016387,57,F,2,0,1,12284,307,45,19,Warren West,11.5,250.916666666667,0.3808877340194264
t0007905,62,M,1,0,1,9236,231,51,3,Warren West,0,0,0.06476332765157794
t0007906,67,F,1,0,2,15631,391,52,0,Warren West,0,0,0.0189877812190509
t0007907,62,F,1,0,1,6064,152,50,1,Warren West,0,0,0.03453082542290144
t0011780,59,F,1,0,2,9164,229,50,2,Warren West,16,4,0.05003599760238572
t0007869,61,M,1,0,2,14624,366,50,5,Warren West,2,320,0.09879898086651369
t0012042,64,M,1,0,1,9260,232,50,1,Warren West,0,0,0.03453082542290144
t0015720,55,M,1,0,1,4400,110,50,0,Warren West,0,0,0.01970293358059767
t0037029,61,F,1,0,1,8048,201,24,0,Warren West,0,0,0.038600907466022176
t0007855,79,M,1,0,1,9236,231,50,3,Warren West,0,0,0.06598731731564887
t0012497,82,M,1,0,1,7661,191,54,23,Warren West,4,220,0.38717531987403
t0007848,65,M,2,0,1,8588,215,101,65,Warren West,7.5,132.5,0.6064636784957975
t0016853,64,M,1,0,1,16616,416,40,0,Warren West,0,0,0.024274056450307804
t0015707,61,F,1,0,1,9564,239,50,0,Warren West,0,0,0.01970293358059767
t0016896,57,M,1,0,1,9536,239,39,2,Warren West,12,1,0.06314639456695885
t0024992,57,F,1,0,1,8996,225,46,33,Warren West,2,120,0.656288068252453
t0015528,78,M,1,0,2,8996,225,50,0,Warren West,0,0,0.01970293358059767
t0037540,68,M,1,0,1,9164,229,21,1,Warren West,1,36,0.07616335492698972
t0014908,65,M,1,0,1,8996,225,40,6,Warren West,0,0,0.14259953693191235
t0008510,75,F,1,0,1,9249,231,50,0,Warren West,0,0,0.01970293358059767
t0012328,59,M,1,0,1,9164,229,51,4,Warren West,0,0,0.08073751950324481
t0015791,57,M,1,0,2,9020,226,61,0,Warren West,0,0,0.01632180100119313
t0024890,60,M,1,0,1,8489,212,31,1,Warren West,8,204,0.05379825279498899
t0016884,73,M,1,0,1,9020,226,39,0,Warren West,0,0,0.024850573301385695
t0015654,73,M,1,0,2,9716,243,53,0,Warren West,0,0,0.01864932424234325
t0011356,74,M,1,0,1,9284,232,53,6,Warren West,2,10,0.10931913887272618
t0014898,73,M,1,0,1,11180,280,23,10,Warren West,0,0,0.3799435167976043
t0008364,67,M,3,1,1,11066,277,50,1,Warren West,19,203,0.03453082542290144
t0008156,75,M,1,0,1,9404,235,50,0,Warren West,0,0,0.01970293358059767
t0015482,55,M,1,0,1,8240,206,54,0,Warren West,0,0,0.01832272070740715
t0008114,71,M,1,0,1,10430,261,50,0,Warren West,0,0,0.01970293358059767
t0011277,60,F,1,0,1,5201,130,81,59,Warren West,4,209.416666666667,0.6847151045176284
t0008116,64,M,1,0,1,13424,336,50,1,Warren West,0,0,0.03453082542290144
t0037539,57,F,1,0,1,7004,175,22,0,Warren West,0,0,0.04167495751171007
t0011276,77,M,1,0,1,19336,483,52,0,Warren West,0,0,0.0189877812190509
t0012455,60,M,1,0,1,8996,225,51,11,Warren West,3,280,0.1977244794768935
t0008209,64,F,1,0,1,11112,278,25,2,Warren West,10.5,287,0.09474151646220116
t0013252,57,F,1,0,2,8996,225,68,0,Warren West,0,0,0.014714846937592228
t0012373,62,F,1,0,1,200,50,24,6,Warren West,2,50,0.22813075384734532
t0024883,60,F,1,0,1,16616,416,40,15,Warren West,0,0,0.33685252415054295
t0015202,59,F,1,0,1,9164,229,50,0,Warren West,0,0,0.01970293358059767
t0008303,72,F,2,0,2,21560,539,50,1,Warren West,0,0,0.03453082542290144
t0015876,53,F,1,0,1,9164,229,64,45,Warren West,16,283.666666666667,0.6533870214123028
t0016370,61,M,1,0,1,9404,235,44,12,Warren West,7,248,0.24741628971341886
t0010942,74,M,1,0,1,9020,226,62,0,Warren West,0,0,0.016071079432693564
t0013216,56,F,1,0,2,9164,229,50,23,Warren West,2,198.272727272727,0.41719582888551693
t0013199,69,F,1,0,1,9404,235,50,4,Warren West,8.5,122,0.08226541934508509
t0008276,85,F,1,0,1,18278,457,50,4,Warren West,5,462,0.08226541934508509
t0036971,62,M,1,0,1,8492,212,26,10,Warren West,0,0,0.3396718027373884
t0012118,62,M,1,0,2,11528,288,50,5,Warren West,2,34,0.09879898086651369
t0037003,61,F,1,0,1,7208,180,26,0,Warren West,0,0,0.035949052167094944
t0008258,87,F,1,0,1,20162,504,53,0,Warren West,0,0,0.01864932424234325
t0008211,89,F,1,0,2,14963,374,50,1,Warren West,15,124,0.03453082542290144
t0016115,57,F,1,0,2,9164,229,58,0,Warren West,0,0,0.017123203292379867
t0024925,61,M,1,0,1,8048,201,35,20,Warren West,8,151.066666666667,0.5105458103790951
t0008235,74,M,1,0,1,9404,235,50,13,Warren West,3.5,137.333333333333,0.23666634168826853
t0010844,61,M,1,0,1,600,50,50,6,Warren West,6,186.5,0.11554131479003016
t0013434,57,F,1,0,2,9404,235,50,0,Warren West,0,0,0.01970293358059767
t0011239,58,F,1,0,1,4800,120,50,4,Warren West,3.5,231,0.08226541934508509
t0011034,64,M,1,0,1,5180,130,50,25,Warren West,10.5,138.363636363636,0.4541067854245086
t0020783,57,M,2,0,2,9020,226,26,11,Warren West,0,0,0.3723108877028978
t0008045,57,F,2,0,2,13391,263,50,22,Smith Homes,5.5,229.625,0.3988354011125409
t0007866,39,F,3,2,2,0,-22,32,3,Smith Homes,0,0,0.1000123626397513
t0007873,61,F,1,0,2,8996,153,57,0,Smith Homes,0,0,0.01740811511569111
t0011353,50,F,2,0,>=3,6413,67,40,1,Smith Homes,0,0,0.042551801116997544
t0007720,38,F,3,1,2,16778,347,3,0,Smith Homes,0,0,0.17054722198040495
