tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0008088,66,F,1,0,1,9020,226,50,14
t0008033,61,M,1,0,1,1694,50,58,25
t0016288,62,F,1,0,1,17804,445,45,0
t0007671,59,M,1,0,1,8852,221,50,0
t0007650,64,F,1,0,1,1716,50,56,0
t0015616,61,F,1,0,1,9020,226,50,0
t0011817,69,F,1,0,1,9020,226,50,1
t0016452,54,M,1,0,1,9020,226,58,32
t0022333,54,M,1,0,1,9020,226,38,11
t0008169,68,M,1,0,1,9020,226,50,0
t0012089,73,M,1,0,1,8084,202,63,13
t0012271,67,M,1,0,1,9164,229,50,7
t0011220,63,M,1,0,0,9020,226,50,12
t0011030,71,M,1,0,1,8996,225,50,14
t0011567,69,F,1,0,1,9260,232,50,3
t0022369,69,F,1,0,1,9260,232,27,6
t0008189,70,F,1,0,1,9452,236,50,7
t0011434,70,M,1,0,1,9020,226,62,31
t0022024,58,F,1,0,1,9020,226,25,2
t0014558,57,F,1,0,1,9252,231,53,0
t0013201,59,F,1,0,1,624,50,50,4
t0034355,59,F,1,0,1,624,50,26,9
t0037668,69,M,1,0,1,24319,608,19,0
t0015198,56,F,1,0,1,3190,80,52,0
t0007195,66,F,1,0,1,4340,109,61,7
t0008400,59,F,1,0,1,8468,212,51,22
t0012287,65,M,1,0,1,21322,533,50,16
t0008004,64,M,1,0,1,9020,226,50,0
t0014682,58,M,1,0,1,18002,450,52,0
t0022128,61,M,1,0,1,5200,130,22,2
t0022113,58,M,1,0,1,9292,232,27,1
t0011669,90,F,1,0,1,11525,288,50,0
t0007989,65,M,1,0,1,9260,232,60,0
t0007989,38,F,7,4,6,65919,0,60,0
t0024319,62,F,1,0,1,9679,242,23,0
t0024319,41,M,7,5,5,5684,35,23,0
t0008000,68,M,1,0,1,17886,447,50,7
t0008000,45,F,6,2,5,4240,-1,50,7
t0015676,19,F,2,1,3,1560,-37,64,0
t0015676,60,M,1,0,1,14324,358,64,0
t0013225,68,M,1,0,1,9164,229,50,5
t0008300,63,F,1,0,1,12788,320,50,11
t0015760,57,F,1,0,1,2600,65,50,6
t0007154,63,M,1,0,1,9392,235,35,15
t0013062,58,M,1,0,1,9020,226,61,29
t0015762,60,M,1,0,1,0,50,60,46
t0024285,61,F,1,0,1,9020,226,28,14
t0014203,59,M,1,0,1,16149,404,51,34
t0011858,57,M,1,0,1,9690,242,50,5
t0008277,79,F,1,0,1,9404,235,52,2
t0008117,64,F,1,0,1,9164,229,51,1
t0015730,62,M,1,0,1,9260,232,57,9
t0015731,58,F,1,0,1,9020,226,50,9
t0012509,58,F,1,0,1,9164,229,56,9
t0013034,58,M,1,0,1,8324,208,61,38
t0024220,58,M,1,0,1,9020,226,29,9
t0037791,65,M,1,0,1,13544,339,17,2
t0007150,63,M,1,0,1,16518,413,50,2
t0023665,58,F,1,0,1,9020,226,27,7
t0007986,59,F,1,0,1,9164,229,50,19
t0023732,58,M,1,0,1,8708,218,24,7
t0008142,68,F,1,0,1,9164,229,59,31
t0007939,92,F,1,0,1,7822,196,57,1
t0008185,62,F,1,0,1,21783,545,50,19
t0019999,59,M,1,0,1,9020,226,29,5
t0011179,61,M,1,0,1,10424,261,54,8
t0007891,68,M,1,0,1,9404,235,50,8
t0012400,67,M,1,0,1,9164,229,50,5
t0024108,53,F,1,0,1,7275,182,29,13
t0023834,57,M,1,0,1,8852,221,27,4
t0034404,71,F,1,0,1,11552,289,20,4
t0007946,86,M,1,0,1,11934,299,58,36
t0011134,60,F,1,0,1,9260,232,50,1
t0013283,80,M,1,0,1,13949,349,52,5
t0012508,60,M,1,0,1,10952,274,51,10
t0016636,62,F,1,0,1,8900,223,43,3
t0016006,65,M,1,0,1,9044,226,52,23
t0007820,68,F,1,0,1,9412,235,50,0
t0007414,71,F,1,0,1,17674,442,50,3
t0008322,65,M,1,0,1,9164,229,59,38
t0011120,64,M,1,0,1,9260,232,50,2
t0013343,59,M,1,0,1,12044,301,50,9
t0008324,89,F,1,0,1,12441,311,50,12
t0023728,57,M,1,0,1,13532,338,21,8
t0015308,66,M,1,0,1,9404,235,62,36
t0008261,62,M,1,0,1,9260,232,50,0
t0016099,66,F,1,0,1,9260,232,46,26
t0007226,64,F,1,0,1,9164,229,50,4
t0011678,58,M,1,0,1,2494,62,54,10
t0012528,62,F,1,0,1,9404,235,50,4
t0007529,65,F,1,0,1,9020,226,50,4
t0023896,71,F,1,0,1,11834,296,32,12
t0007248,86,M,2,1,1,18032,451,52,6
t0007998,86,M,1,0,1,9884,247,50,5
t0013342,59,F,1,0,1,9260,232,50,17
t0011601,69,M,1,0,1,9404,235,51,5
t0023661,53,M,1,0,1,9020,226,17,1
t0024031,66,M,1,0,1,8996,225,31,0
t0015831,58,M,1,0,1,8852,221,51,14
t0007618,60,M,1,0,1,9020,226,50,11
t0011333,65,M,2,1,1,18328,458,63,41
t0016393,60,M,2,0,1,12536,314,59,23
t0014683,60,M,1,0,1,12992,325,73,58
t0012818,57,M,1,0,1,9020,226,72,27
t0013331,55,M,1,0,1,9164,229,57,3
t0007731,63,F,1,0,1,8768,219,50,21
t0012996,64,M,1,0,1,9656,242,53,36
t0013231,58,F,2,0,1,9404,235,50,24
t0007928,61,F,1,0,1,11440,286,77,48
t0023989,54,F,1,0,1,7920,198,21,1
t0011244,66,M,1,0,1,10184,255,50,15
t0014514,55,M,1,0,1,9212,230,50,4
t0011673,60,M,1,0,1,9164,229,50,7
t0008145,61,M,1,0,1,9404,235,50,30
t0007710,62,F,1,0,1,9020,226,50,22
t0007429,72,M,1,0,1,9020,226,58,18
t0014253,59,M,1,0,1,8090,202,50,1
t0010060,59,M,1,0,1,9020,226,50,0
t0014707,64,M,1,0,1,10317,258,52,5
t0024034,63,M,1,0,1,9404,235,41,0
t0008194,70,M,1,0,1,10580,265,57,13
t0016017,73,M,1,0,1,9195,230,47,13
t0013096,62,M,2,0,1,11755,294,50,0
t0026758,60,M,1,0,1,9296,233,25,9
t0007793,63,F,1,0,1,14036,351,56,1
t0008155,62,F,1,0,1,9404,235,50,0
t0011136,60,F,1,0,1,9704,243,37,12
t0013221,70,F,1,0,1,18971,474,50,0
t0016613,61,M,1,0,1,8420,211,51,33
